 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.224684500E0,-7.410538924E-1,-1.148243465E0,-1.576613992E-2
5.249516500E0,-3.341496634E-1,-9.919409591E-1,2.357901406E-1
5.274355500E0,-1.746452218E-1,-9.692969587E-1,1.977116105E-1
5.299187500E0,-1.455225796E-1,-9.352805623E-1,1.058533144E-1
5.324026500E0,1.025005209E-1,-1.276344558E0,4.335754260E-1
5.348859500E0,-4.570470268E-1,-2.229282250E0,5.310327235E-1
5.373697500E0,2.847699273E-1,-3.190422708E0,-6.709416837E-2
5.398529500E0,5.412621349E-1,-3.428952854E0,-1.721247795E-1
5.423368500E0,6.174811757E-1,-3.596829339E0,2.529590276E-1
5.448201500E0,4.922536969E-1,-3.822728330E0,-1.104781696E-1
5.473039250E0,1.051047539E0,-5.706049833E0,1.158707643E0
5.497871250E0,2.483907149E0,-7.545430681E0,1.912312291E0
5.522710250E0,3.580615595E0,-8.362188474E0,3.216372944E0
5.547542250E0,3.669946432E0,-6.328706964E0,5.350983510E0
5.572381250E0,-1.395543265E-1,-3.191202727E-1,2.403638327E0
5.597214250E0,1.432057373E0,1.898789435E0,-1.474071225E0
5.622052250E0,6.179568467E0,2.482793255E0,-2.168935622E0
5.646885250E0,3.317371023E0,1.782588888E0,-1.468295492E0
5.671723250E0,7.847746933E-1,-1.155854201E0,-1.579762133E0
5.696555250E0,1.432083101E0,-4.470770855E-1,-1.938339125E0
5.721394250E0,3.420206004E-1,3.259285952E0,-3.259497621E0
5.746227250E0,2.096735519E-1,4.590415412E0,-3.570645508E0
5.771065250E0,-1.218652713E0,4.804951801E0,-3.104479748E0
5.795898250E0,-1.716525584E0,4.208136440E0,-3.107521470E0
5.820736250E0,-1.744368271E0,4.621341336E0,-2.487414894E0
5.845569250E0,-2.059237325E0,5.820450608E0,-3.048224856E0
5.870407250E0,-1.849036354E0,6.992120942E0,-2.869325784E0
5.895240250E0,-1.810236570E0,6.763928674E0,-1.438126198E0
5.920078250E0,-1.868936768E0,3.750707590E0,1.314976820E0
5.944911250E0,-1.863723975E0,1.730860325E0,1.660632634E0
5.969749250E0,-8.952999330E-1,-3.577104342E-1,1.192037941E0
5.994582250E0,1.117671883E-1,-1.965629250E0,2.011506504E0
6.019420250E0,1.676114892E0,-6.642649820E0,2.628073175E0
6.044253250E0,1.516071922E0,-7.986501360E0,2.375370548E0
6.069091250E0,1.346262932E-1,-5.994253246E0,7.852857399E-1
6.093924250E0,-5.585225308E-1,-3.187164347E0,-2.636168937E-1
6.118762250E0,-1.186890053E0,4.540684551E-2,-1.797873948E0
6.143595250E0,1.885332946E0,4.054212873E0,-4.105525407E0
6.168433250E0,7.079968341E0,2.107793189E0,6.680649705E0
6.193266250E0,4.453007891E0,-5.234796996E0,3.291052705E0
6.218104250E0,2.724802494E-2,7.897628360E0,-5.140228808E0
6.242937250E0,-3.273782369E0,1.753137925E1,-1.767171096E0
6.267775250E0,-2.036115096E0,4.218552962E0,-6.088547784E0
6.292608250E0,1.611187994E0,2.619388890E-1,-1.836241185E0
