"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.850946210E0,9.694520950E0,1.360618830E0,-5.919244885E-1
7.875946210E0,9.668199539E0,1.339083314E0,-5.285146832E-1
7.900946210E0,9.646664619E0,1.345065475E0,-5.309075117E-1
7.925946210E0,9.633503914E0,1.390678644E0,-6.026921868E-1
7.950946210E0,9.647860527E0,1.238584876E0,-6.062814593E-1
7.975946210E0,9.663414001E0,1.223031521E0,-6.146563292E-1
8.000946210E0,9.595218658E0,1.348654628E0,-5.213362575E-1
8.025946210E0,9.681360245E0,1.334297776E0,-5.679962635E-1
8.050946210E0,9.649057388E0,1.309173107E0,-5.261218548E-1
8.075946210E0,9.631111145E0,1.485195160E0,-5.440680385E-1
8.100946210E0,9.656235695E0,1.555783391E0,-6.243771315E-1
8.125946210E0,9.623932838E0,1.437338710E0,-6.566802859E-1
8.150946210E0,9.637093544E0,1.254138112E0,-5.476573110E-1
8.175946210E0,9.694520950E0,1.056580782E0,-4.591228366E-1
8.200946210E0,9.717252731E0,8.111668825E-1,-4.387838542E-1
8.225946210E0,9.723235130E0,7.453642488E-1,-4.112663865E-1
8.250946210E0,9.690931320E0,8.926724195E-1,-5.536393523E-1
8.275946210E0,9.742377281E0,1.092473030E0,-6.471089721E-1
8.300946210E0,9.614361763E0,1.139282703E0,-7.153044343E-1
8.325946210E0,9.598808289E0,1.214656591E0,-6.961618662E-1
8.350946210E0,9.627521515E0,1.325922847E0,-6.447161436E-1
8.375946210E0,9.662218094E0,1.503141284E0,-6.698408127E-1
8.400946210E0,9.585647583E0,1.524676681E0,-6.925725937E-1
8.425946210E0,9.622735977E0,1.425374508E0,-6.901797652E-1
8.450946210E0,9.650253296E0,1.487587929E0,-6.901797652E-1
8.475946210E0,9.609575272E0,1.472034574E0,-7.045367360E-1
8.500946210E0,9.600004196E0,1.331904888E0,-6.830013394E-1
8.525946210E0,9.638289452E0,1.382303715E0,-7.129116058E-1
8.550946210E0,9.597611427E0,1.433749437E0,-7.248756886E-1
8.575946210E0,9.625128746E0,1.434945822E0,-7.045367360E-1
8.600946210E0,9.586843491E0,1.370190024E0,-6.985546350E-1
8.625946210E0,9.702896118E0,1.264905930E0,-6.734300256E-1
8.650946210E0,9.573683739E0,1.234995604E0,-6.830013394E-1
8.675946210E0,9.665806770E0,1.445713520E0,-7.308577895E-1
8.700946210E0,9.621540070E0,1.506730556E0,-7.260721326E-1
8.725946210E0,9.553344727E0,1.499552011E0,-7.117151618E-1
8.750946210E0,9.584450722E0,1.420588851E0,-6.411269307E-1
8.775946210E0,9.651450157E0,1.329512119E0,-6.243771315E-1
8.800946210E0,9.742377281E0,1.327119231E0,-6.062814593E-1
8.825946210E0,9.742377281E0,1.327119231E0,-6.062814593E-1
8.850946210E0,9.572486877E0,1.304387450E0,-6.435197592E-1
8.875946210E0,9.677771568E0,1.051795125E0,-5.991029739E-1
8.900946210E0,9.667003632E0,1.221835017E0,-6.279664040E-1
8.925946210E0,9.616754532E0,1.306780219E0,-6.291627884E-1
8.950946210E0,9.577272415E0,1.236191988E0,-7.188936472E-1
8.975946210E0,9.755537987E0,1.182353497E0,-6.925725937E-1
9.000946210E0,9.528220177E0,1.230209947E0,-6.327520609E-1
9.025946210E0,9.711270332E0,1.373779297E0,-6.686443686E-1
9.050946210E0,9.652647018E0,1.311565876E0,-7.846962810E-1
9.075946210E0,9.696913719E0,1.267298698E0,-7.511967421E-1
9.100946210E0,9.626325607E0,1.251745343E0,-6.937690377E-1
9.125946210E0,9.621540070E0,1.389482141E0,-6.315556169E-1
9.150946210E0,9.570094109E0,1.407428384E0,-5.919244885E-1
9.175946210E0,9.689735413E0,1.170389414E0,-5.572285652E-1
9.200946210E0,9.723235130E0,1.231406331E0,-5.452644825E-1
9.225946210E0,9.735198975E0,1.322333574E0,-5.500500798E-1
9.250946210E0,9.633503914E0,1.353440285E0,-5.440680385E-1
9.275946210E0,9.615557671E0,1.309173107E0,-5.560321808E-1
9.300946210E0,9.695717812E0,1.275673628E0,-5.739783049E-1
9.325946210E0,9.617950439E0,1.291226864E0,-6.375376582E-1
9.350946210E0,9.667003632E0,1.331904888E0,-6.267699599E-1
9.375946210E0,9.647860527E0,1.287637711E0,-6.098706722E-1
9.400946210E0,9.603593826E0,1.240977645E0,-5.763711333E-1
9.425946210E0,9.694520950E0,1.329512119E0,-6.243771315E-1
9.450946210E0,9.713663101E0,1.317547917E0,-6.255735755E-1
9.475946210E0,9.643074989E0,1.167996526E0,-5.919244885E-1
9.500946210E0,9.623932838E0,1.134497046E0,-5.512465239E-1
9.525946210E0,9.651450157E0,1.111765265E0,-5.524429083E-1
9.550946210E0,9.610772133E0,1.203888893E0,-6.327520609E-1
